lat,lon,restoration,DHW_trend,SSTA_mean_trend,HS_trend,BAA_trend,light_trend,fishing_demersal_destructive_trend,remotness,rich,cumulative_impact_trend,SST_trend
127,461,0,0.010168337041409,0.087920528510538,0.056342556535188,2.87903225806451,184.852306837736,8.81000303069207,0.102406211197376,108,13.8311836886866,0.076530996290123
127,462,0,0.011897621480147,0.089865225457225,0.046996466431095,2.23897058823529,-717.281425209131,8.81364260334719,0.204902037978172,108,14.080107737366,0.086989517284423
127,463,0,0.014058832767982,0.092326988255109,0.058103383149147,2.7,-8886.34660035352,83.5838652904401,0.273073852062225,107,10.9917884854539,0.086945682778039
127,467,0,0.039878455812854,0.092681723088212,0.058689717925387,3.85714285714285,681.832025635667,-441.993850116054,0.232999458909035,107,0.988358831705775,0.077971453426556
127,471,0,0.040343468200387,0.073076158281965,0.064767422921915,2.1,355.302421762589,-114.311432954103,0.188903033733368,106,-48.5729348342387,0.074537048362239
127,472,0,0.035633379234604,0.110567914284342,0.089497095354999,4.05,152.860111780581,42.5448208224583,0.117864824831486,106,-40.7032317234775,0.084052190210731
127,614,0,0.00294047240749,0.112094247084608,0.012441779346287,1.51807228915662,NA,-124.198534738933,0.425655156373978,367,6.51814170825501,0.065088275371764
127,615,0,0.001757527561003,0.104451790293182,0.004944291280275,1.30344827586206,-35897.8314017284,-120.775099930226,0.250287413597107,367,9.68644066600512,0.063047988249012
127,616,1,0.001146634200211,0.086001926482926,0.006031468531469,0.348066298342538,451.317259463487,-96.4913307765017,0.110531218349934,367,10.9796552010293,0.063667973556935
127,617,0,0.000987146083697,0.075128157539375,-0.007359915137901,-0.386029411764708,423.939224016494,-88.6022344880102,0.095673330128193,358,-7.22602161047659,0.069210066918825
128,12,0,0.003241912044917,0.074822906707095,0.022631883244593,0.909999999999999,NA,1981.86777429466,6.6883225440979,60,0.31371596969237,0.01448219113671
128,13,0,0.003047102006224,0.06812906378531,0.017324599819143,1.73684210526316,NA,-119.125993737921,6.49872541427612,60,9.56903930316651,0.009685230024215
128,14,0,0.003268304113515,0.068513494550727,0.019152289276177,1.96,NA,NA,6.30912256240845,60,11.6890364746623,0.003851476399286
128,200,1,-0.009731724937621,0.159597234416155,0.038371703173894,0.857142857142855,72.0858428829819,861.749111224117,0.050284296274185,55,22.8758176362377,0.095120656822652
128,202,0,-0.00605242178221,0.164235249188467,0.036425584636828,1.14545454545454,64359.2156327979,-657.712951173739,0.334730237722397,55,19.2262329960003,0.099407311777478
128,203,0,-0.011010471359204,0.144757099295782,0.017341505732803,1.4,2146.00079616817,996.249124323641,0.514692664146423,53,8.92234144597941,0.093801881571666
128,205,0,0.012480775238809,0.125186868523241,0.046680982849797,2.6551724137931,-30809.8391988615,1057.60441128357,0.505913078784943,53,-13.2618646675865,0.089677577540762
128,206,0,0.016443322286422,0.123945875760268,0.066208662609797,3.44262295081967,11930.511525857,2306.38554761614,0.446829169988632,53,-35.8849057736893,0.08878991662734
128,207,0,-0.005854719321968,0.127925898109901,0.03165144973064,1.63333333333333,20358.7024535814,1617.82011340542,0.522634446620941,53,-23.1905652027421,0.083213180306438
128,429,0,0.013373840843309,0.101417349087705,0.069235108538955,5.13157894736842,1409.75064480497,-332.390532383593,0.169813096523285,302,5.93516645345314,0.048739718758291
128,430,0,0.012048589807501,0.086784527652756,0.079292928111395,3.90833333333333,NA,-548.966750986605,0.312014758586884,304,5.15523948427135,0.034783360885779
128,433,0,0.009480168244139,0.076017788573423,0.031108198396685,3.5,758.714580572695,-0.712796289390256,0.275557845830917,305,8.35636627391764,0.044057855672243
128,434,0,0.009063838235959,0.078266109902509,0.040041997506398,3.27272727272727,289.271585404347,-36.5848368265454,0.388308733701706,305,10.3459013378225,0.047223540579022
128,461,0,0.008563012831316,0.08962009729761,0.054938830185184,2.7,71.1839062134915,10.673385719869,0.034246049821377,108,-3.74084262666445,0.071011405168139
128,462,1,0.010367040115629,0.090252791789369,0.044800481078991,2.7,131.537419965685,16.477771754538,0.068251013755798,107,-15.0907994069133,0.078755853316192
128,463,0,0.017522393357182,0.09267836776074,0.046507121014477,1.66463414634146,413.144401852359,18.6954581537129,0.09933964908123,107,20.6994649062303,0.083742632612967
128,469,0,0.080202179273795,0.083358191380799,0.085193443694693,3.15,2305.18710068184,-821.587716856611,0.144912347197533,107,-2.11978329456701,0.075039391973306
128,470,0,0.08763923918777,0.082854111998213,0.078634199469427,0.926470588235287,800.443472284504,-263.364776864131,0.250474512577057,106,-9.71676332415502,0.07620883357198
128,471,0,0.082052430509814,0.077032252756294,0.047885045318183,1.72131147540983,2791.45423477786,-85.2760453513717,0.253335803747177,106,-11.5425576840296,0.072345483359748
128,473,0,0.09064133321909,0.107151406608801,0.074067491654238,5.72727272727273,502.834222555004,32.8754186267031,0.11150000244379,110,-17.6785475802927,0.088458507253568
128,474,0,0.019708933968984,0.11016984465631,0.034625425957886,0.552631578947366,19872.6999305213,603.473111220608,0.207198455929756,107,-9.69012665175548,0.075662765703368
